deal_ym,aptNm,umdNm,dealAmount_raw,dealYear,dealMonth,dealDay,excluUseAr_raw,floor_raw,buildYear_raw,cdealType,cdealDay,roadNm,price,area_m2,floor,buildYear,date
201701,동탄역시범리슈빌아파트,청계동,"51,000",2017,1,7,84.87,15,2015,,,동탄대로시범길,51000,84.87,15,2015,2017-01-07
201701,동탄퍼스트파크,영천동,"26,000",2017,1,14,72.5957,12,2003,,,동탄순환대로30길,26000,72.5957,12,2003,2017-01-14
201701,동탄역이지더원,영천동,"42,000",2017,1,13,84.9731,8,2015,,,동탄순환대로28길,42000,84.9731,8,2015,2017-01-13
201701,동탄역이지더원,영천동,"34,700",2017,1,14,59.9792,13,2015,,,동탄순환대로28길,34700,59.9792,13,2015,2017-01-14
201701,동탄역시범호반써밋,청계동,"52,000",2017,1,31,84.9909,17,2015,,,동탄대로시범길,52000,84.9909,17,2015,2017-01-31
201701,동탄퍼스트파크,영천동,"26,400",2017,1,14,72.5957,15,2003,,,동탄순환대로30길,26400,72.5957,15,2003,2017-01-14
201701,동탄역시범호반써밋,청계동,"51,900",2017,1,21,84.9537,11,2015,,,동탄대로시범길,51900,84.9537,11,2015,2017-01-21
201701,동탄퍼스트파크,영천동,"26,800",2017,1,23,72.5957,7,2003,,,동탄순환대로30길,26800,72.5957,7,2003,2017-01-23
201701,동탄퍼스트파크,영천동,"27,500",2017,1,19,72.5957,14,2003,,,동탄순환대로30길,27500,72.5957,14,2003,2017-01-19
201701,동탄역 호반 써밋,청계동,"37,000",2017,1,17,59.417,23,2015,,,동탄순환대로22길,37000,59.417,23,2015,2017-01-17
201701,동탄역시범반도유보라아이비파크1.0,청계동,"63,500",2017,1,26,99.0153,21,2015,,,동탄대로시범길,63500,99.0153,21,2015,2017-01-26
201701,동탄퍼스트파크,영천동,"26,700",2017,1,17,72.5957,9,2003,,,동탄순환대로30길,26700,72.5957,9,2003,2017-01-17
201701,동탄퍼스트파크,영천동,"25,000",2017,1,23,72.5957,1,2003,,,동탄순환대로30길,25000,72.5957,1,2003,2017-01-23
201701,동탄역시범대원칸타빌아파트,청계동,"51,700",2017,1,19,84.705,16,2015,,,동탄대로시범길,51700,84.705,16,2015,2017-01-19
201701,동탄퍼스트파크,영천동,"26,200",2017,1,20,72.5957,7,2003,,,동탄순환대로30길,26200,72.5957,7,2003,2017-01-20
201701,동탄역이지더원,영천동,"31,900",2017,1,31,59.9792,2,2015,,,동탄순환대로28길,31900,59.9792,2,2015,2017-01-31
201701,동탄역시범예미지아파트,청계동,"54,500",2017,1,14,84.8,8,2015,,,동탄대로시범길,54500,84.8,8,2015,2017-01-14
201701,동탄역 호반 써밋,청계동,"37,300",2017,1,17,59.1612,18,2015,,,동탄순환대로22길,37300,59.1612,18,2015,2017-01-17
201701,동탄퍼스트파크,영천동,"26,800",2017,1,20,72.5957,13,2003,,,동탄순환대로30길,26800,72.5957,13,2003,2017-01-20
201701,동탄퍼스트파크,영천동,"26,000",2017,1,14,72.5957,12,2003,,,동탄순환대로30길,26000,72.5957,12,2003,2017-01-14
201701,동탄퍼스트파크,영천동,"25,900",2017,1,9,72.5957,2,2003,,,동탄순환대로30길,25900,72.5957,2,2003,2017-01-09
201701,동탄퍼스트파크,영천동,"26,900",2017,1,12,72.5957,9,2003,,,동탄순환대로30길,26900,72.5957,9,2003,2017-01-12
201701,동탄역 호반 써밋,청계동,"46,500",2017,1,8,84.9805,15,2015,,,동탄순환대로22길,46500,84.9805,15,2015,2017-01-08
201701,동탄퍼스트파크,영천동,"26,300",2017,1,19,72.5957,13,2003,,,동탄순환대로30길,26300,72.5957,13,2003,2017-01-19
201701,롯데캐슬 알바트로스,청계동,"70,500",2017,1,24,122.9757,8,2015,,,동탄순환대로21길,70500,122.9757,8,2015,2017-01-24
201701,동탄역시범호반써밋,청계동,"50,170",2017,1,8,84.9537,3,2015,,,동탄대로시범길,50170,84.9537,3,2015,2017-01-08
201701,KCC스위첸아파트,청계동,"43,900",2017,1,21,84.11,19,2015,,,동탄청계로,43900,84.11,19,2015,2017-01-21
201701,동탄역신안인스빌리베라2차,청계동,"30,416",2017,1,20,59.968,6,2016,,,동탄청계로,30416,59.968,6,2016,2017-01-20
201701,동탄역 시범우남퍼스트빌아파트,청계동,"52,900",2017,1,26,84.94,4,2015,,,동탄대로시범길,52900,84.94,4,2015,2017-01-26
201701,동탄역센트럴푸르지오,청계동,"36,100",2017,1,22,59.4313,6,2015,,,동탄순환대로21길,36100,59.4313,6,2015,2017-01-22
201701,동탄역신안인스빌리베라1차,청계동,"51,000",2017,1,16,101.9997,23,2015,,,동탄순환대로21길,51000,101.9997,23,2015,2017-01-16
201701,동탄퍼스트파크,영천동,"26,800",2017,1,5,72.5957,6,2003,,,동탄순환대로30길,26800,72.5957,6,2003,2017-01-05
201701,동탄역대원칸타빌포레지움,청계동,"44,200",2017,1,5,84.208,6,2015,,,동탄순환대로22길,44200,84.208,6,2015,2017-01-05
201701,동탄역이지더원,영천동,"32,850",2017,1,4,59.9792,1,2015,,,동탄순환대로28길,32850,59.9792,1,2015,2017-01-04
201702,동탄역 시범우남퍼스트빌아파트,청계동,"43,500",2017,2,25,59.98,14,2015,,,동탄대로시범길,43500,59.98,14,2015,2017-02-25
201702,동탄퍼스트파크,영천동,"25,800",2017,2,19,72.5957,7,2003,,,동탄순환대로30길,25800,72.5957,7,2003,2017-02-19
201702,동탄역 신미주,오산동,"30,600",2017,2,22,84.896,11,2005,,,동탄감배산로,30600,84.896,11,2005,2017-02-22
201702,동탄역 시범우남퍼스트빌아파트,청계동,"47,100",2017,2,24,73.96,4,2015,,,동탄대로시범길,47100,73.96,4,2015,2017-02-24
201702,롯데캐슬 알바트로스,청계동,"59,700",2017,2,16,122.9757,1,2015,,,동탄순환대로21길,59700,122.9757,1,2015,2017-02-16
201702,동탄역시범호반써밋,청계동,"50,000",2017,2,25,84.9537,3,2015,,,동탄대로시범길,50000,84.9537,3,2015,2017-02-25
201702,동탄퍼스트파크,영천동,"26,300",2017,2,8,72.5957,13,2003,,,동탄순환대로30길,26300,72.5957,13,2003,2017-02-08
201702,동탄퍼스트파크,영천동,"26,500",2017,2,6,72.5957,9,2003,,,동탄순환대로30길,26500,72.5957,9,2003,2017-02-06
201702,동탄퍼스트파크,영천동,"26,200",2017,2,17,72.5957,15,2003,,,동탄순환대로30길,26200,72.5957,15,2003,2017-02-17
201702,동탄역 시범한화 꿈에그린 프레스티지,청계동,"84,500",2017,2,15,124.52,19,2015,,,동탄대로시범길,84500,124.52,19,2015,2017-02-15
201702,동탄퍼스트파크,영천동,"25,500",2017,2,27,72.5957,3,2003,,,동탄순환대로30길,25500,72.5957,3,2003,2017-02-27
201702,동탄퍼스트파크,영천동,"25,500",2017,2,20,72.5957,3,2003,,,동탄순환대로30길,25500,72.5957,3,2003,2017-02-20
201702,동탄퍼스트파크,영천동,"25,900",2017,2,18,72.5957,14,2003,,,동탄순환대로30길,25900,72.5957,14,2003,2017-02-18
201702,동탄역이지더원,영천동,"32,800",2017,2,11,59.9792,15,2015,,,동탄순환대로28길,32800,59.9792,15,2015,2017-02-11
201702,동탄역센트럴자이(A-10),영천동,"50,000",2017,2,11,84.9103,22,2015,,,동탄대로22길,50000,84.9103,22,2015,2017-02-11
201702,동탄퍼스트파크,영천동,"26,100",2017,2,8,72.5957,7,2003,,,동탄순환대로30길,26100,72.5957,7,2003,2017-02-08
201702,동탄퍼스트파크,영천동,"25,500",2017,2,19,72.5957,3,2003,,,동탄순환대로30길,25500,72.5957,3,2003,2017-02-19
201702,동탄역모아미래도,청계동,"46,100",2017,2,27,84.9982,12,2015,,,동탄청계로,46100,84.9982,12,2015,2017-02-27
201702,동탄퍼스트파크,영천동,"25,500",2017,2,8,72.5957,1,2003,,,동탄순환대로30길,25500,72.5957,1,2003,2017-02-08
201702,동탄퍼스트파크,영천동,"24,500",2017,2,28,72.5957,2,2003,,,동탄순환대로30길,24500,72.5957,2,2003,2017-02-28
201702,동탄퍼스트파크,영천동,"27,000",2017,2,8,72.5957,12,2003,,,동탄순환대로30길,27000,72.5957,12,2003,2017-02-08
201702,동탄퍼스트파크,영천동,"26,500",2017,2,13,72.5957,9,2003,,,동탄순환대로30길,26500,72.5957,9,2003,2017-02-13
201702,동탄역 신미주,오산동,"30,000",2017,2,25,84.896,15,2005,,,동탄감배산로,30000,84.896,15,2005,2017-02-25
201702,동탄역 시범우남퍼스트빌아파트,청계동,"51,000",2017,2,8,73.96,17,2015,,,동탄대로시범길,51000,73.96,17,2015,2017-02-08
201702,동탄퍼스트파크,영천동,"24,800",2017,2,18,72.5957,1,2003,,,동탄순환대로30길,24800,72.5957,1,2003,2017-02-18
201702,동탄역신안인스빌리베라1차,청계동,"51,000",2017,2,15,101.989,10,2015,,,동탄순환대로21길,51000,101.989,10,2015,2017-02-15
201702,동탄역시범반도유보라아이비파크1.0,청계동,"52,000",2017,2,11,84.9643,16,2015,,,동탄대로시범길,52000,84.9643,16,2015,2017-02-11
201702,동탄역시범호반써밋,청계동,"52,600",2017,2,4,84.9537,22,2015,,,동탄대로시범길,52600,84.9537,22,2015,2017-02-04
201702,동탄퍼스트파크,영천동,"26,800",2017,2,2,72.5957,14,2003,,,동탄순환대로30길,26800,72.5957,14,2003,2017-02-02
201702,동탄역신안인스빌리베라1차,청계동,"47,000",2017,2,6,84.9814,16,2015,,,동탄순환대로21길,47000,84.9814,16,2015,2017-02-06
201702,동탄역 신미주,오산동,"27,000",2017,2,4,84.896,2,2005,,,동탄감배산로,27000,84.896,2,2005,2017-02-04
201702,롯데캐슬 알바트로스,청계동,"72,000",2017,2,13,122.9757,14,2015,,,동탄순환대로21길,72000,122.9757,14,2015,2017-02-13
201703,동탄역센트럴자이(A-10),영천동,"48,000",2017,3,18,84.9103,4,2015,,,동탄대로22길,48000,84.9103,4,2015,2017-03-18
201703,반도유보라아이비파크3,오산동,"30,300",2017,3,5,59.987,3,2016,,,동탄대로12길,30300,59.987,3,2016,2017-03-05
201703,동탄역이지더원,영천동,"31,500",2017,3,20,59.9792,2,2015,,,동탄순환대로28길,31500,59.9792,2,2015,2017-03-20
201703,동탄역센트럴푸르지오,청계동,"37,500",2017,3,15,59.4313,13,2015,,,동탄순환대로21길,37500,59.4313,13,2015,2017-03-15
201703,롯데캐슬 알바트로스,청계동,"78,500",2017,3,25,122.9757,27,2015,,,동탄순환대로21길,78500,122.9757,27,2015,2017-03-25
201703,동탄역센트럴푸르지오,청계동,"45,600",2017,3,28,84.9834,1,2015,,,동탄순환대로21길,45600,84.9834,1,2015,2017-03-28
201703,더샵센트럴시티,청계동,"64,500",2017,3,7,84.796,18,2015,,,동탄대로시범길,64500,84.796,18,2015,2017-03-07
201703,동탄역이지더원,영천동,"32,000",2017,3,28,59.9792,15,2015,,,동탄순환대로28길,32000,59.9792,15,2015,2017-03-28
201703,동탄역 신미주,오산동,"28,000",2017,3,28,84.896,14,2005,,,동탄감배산로,28000,84.896,14,2005,2017-03-28
201703,동탄역 시범우남퍼스트빌아파트,청계동,"43,000",2017,3,21,59.98,14,2015,,,동탄대로시범길,43000,59.98,14,2015,2017-03-21
201703,동탄퍼스트파크,영천동,"25,400",2017,3,6,72.5957,7,2003,,,동탄순환대로30길,25400,72.5957,7,2003,2017-03-06
201703,동탄역 시범우남퍼스트빌아파트,청계동,"55,000",2017,3,15,84.98,25,2015,,,동탄대로시범길,55000,84.98,25,2015,2017-03-15
201703,동탄퍼스트파크,영천동,"27,000",2017,3,16,72.5957,8,2003,,,동탄순환대로30길,27000,72.5957,8,2003,2017-03-16
201703,KCC스위첸아파트,청계동,"44,000",2017,3,12,84.01,21,2015,,,동탄청계로,44000,84.01,21,2015,2017-03-12
201703,동탄역대원칸타빌포레지움,청계동,"43,500",2017,3,11,84.705,25,2015,,,동탄순환대로22길,43500,84.705,25,2015,2017-03-11
201703,동탄퍼스트파크,영천동,"28,400",2017,3,20,72.5957,3,2003,,,동탄순환대로30길,28400,72.5957,3,2003,2017-03-20
201703,동탄역 시범우남퍼스트빌아파트,청계동,"43,300",2017,3,11,59.98,20,2015,,,동탄대로시범길,43300,59.98,20,2015,2017-03-11
201703,동탄역 시범우남퍼스트빌아파트,청계동,"45,900",2017,3,11,69.98,6,2015,,,동탄대로시범길,45900,69.98,6,2015,2017-03-11
201703,동탄2신도시금강펜테리움센트럴파크Ⅰ,오산동,"36,000",2017,3,10,84.9949,13,2016,,,동탄대로12길,36000,84.9949,13,2016,2017-03-10
201703,동탄역 시범우남퍼스트빌아파트,청계동,"58,600",2017,3,8,84.94,16,2015,,,동탄대로시범길,58600,84.94,16,2015,2017-03-08
201703,동탄역 시범우남퍼스트빌아파트,청계동,"41,800",2017,3,9,59.98,2,2015,,,동탄대로시범길,41800,59.98,2,2015,2017-03-09
201703,동탄역포레너스,영천동,"38,510",2017,3,30,84.5413,7,2017,,,동탄대로24길,38510,84.5413,7,2017,2017-03-30
201703,동탄역 시범우남퍼스트빌아파트,청계동,"41,900",2017,3,7,59.99,7,2015,,,동탄대로시범길,41900,59.99,7,2015,2017-03-07
201703,동탄역 신미주,오산동,"27,500",2017,3,18,84.896,5,2005,,,동탄감배산로,27500,84.896,5,2005,2017-03-18
201703,동탄역이지더원,영천동,"33,000",2017,3,27,59.9792,12,2015,,,동탄순환대로28길,33000,59.9792,12,2015,2017-03-27
201703,동탄역시범반도유보라아이비파크1.0,청계동,"59,500",2017,3,18,99.0153,16,2015,,,동탄대로시범길,59500,99.0153,16,2015,2017-03-18
201703,동탄역 시범우남퍼스트빌아파트,청계동,"57,000",2017,3,16,84.94,7,2015,,,동탄대로시범길,57000,84.94,7,2015,2017-03-16
201703,동탄역 호반 써밋,청계동,"32,000",2017,3,14,59.8365,19,2015,,,동탄순환대로22길,32000,59.8365,19,2015,2017-03-14
201703,동탄역이지더원,영천동,"25,840",2017,3,23,59.9792,12,2015,,,동탄순환대로28길,25840,59.9792,12,2015,2017-03-23
201703,동탄역이지더원,영천동,"32,900",2017,3,4,59.9792,14,2015,,,동탄순환대로28길,32900,59.9792,14,2015,2017-03-04
201703,동탄역포레너스,영천동,"29,900",2017,3,12,60.3768,10,2017,,,동탄대로24길,29900,60.3768,10,2017,2017-03-12
201703,동탄역 시범우남퍼스트빌아파트,청계동,"47,500",2017,3,3,73.96,28,2015,,,동탄대로시범길,47500,73.96,28,2015,2017-03-03
201703,동탄역이지더원,영천동,"31,450",2017,3,10,59.9792,3,2015,,,동탄순환대로28길,31450,59.9792,3,2015,2017-03-10
201703,동탄역이지더원,영천동,"32,600",2017,3,6,59.9792,14,2015,,,동탄순환대로28길,32600,59.9792,14,2015,2017-03-06
201703,동탄역 시범우남퍼스트빌아파트,청계동,"44,000",2017,3,2,59.95,15,2015,,,동탄대로시범길,44000,59.95,15,2015,2017-03-02
201704,동탄역시범예미지아파트,청계동,"49,700",2017,4,27,84.996,8,2015,,,동탄대로시범길,49700,84.996,8,2015,2017-04-27
201704,동탄역시범대원칸타빌아파트,청계동,"54,500",2017,4,27,84.786,10,2015,,,동탄대로시범길,54500,84.786,10,2015,2017-04-27
201704,KCC스위첸아파트,청계동,"43,900",2017,4,25,84.01,20,2015,,,동탄청계로,43900,84.01,20,2015,2017-04-25
201704,동탄역 신미주,오산동,"28,000",2017,4,22,84.896,5,2005,,,동탄감배산로,28000,84.896,5,2005,2017-04-22
201704,동탄역센트럴푸르지오,청계동,"35,900",2017,4,14,59.4313,6,2015,,,동탄순환대로21길,35900,59.4313,6,2015,2017-04-14
201704,동탄역이지더원,영천동,"32,000",2017,4,15,59.9804,9,2015,,,동탄순환대로28길,32000,59.9804,9,2015,2017-04-15
201704,동탄역반도유보라아이비파크2.0,영천동,"42,000",2017,4,29,84.9921,14,2016,,,동탄순환대로26길,42000,84.9921,14,2016,2017-04-29
201704,더샵센트럴시티,청계동,"54,900",2017,4,28,84.392,1,2015,,,동탄대로시범길,54900,84.392,1,2015,2017-04-28
