aptNm,umdNm,price,area_m2,floor,cdealType,__lawd_cd__,__deal_ym__,date
SummitPlace광교,이의동,75000,116.705,4,,41117,201701,2017-01-06
오드카운티,이의동,67900,121.9758,7,,41117,201701,2017-01-30
삼성1,원천동,16000,49.14,7,,41117,201701,2017-01-31
광교 해모로 아파트,이의동,44000,84.8,1,,41117,201701,2017-01-23
자연앤자이2단지,이의동,106500,148.21,17,,41117,201701,2017-01-31
광교LAKEPARK한양수자인,하동,49000,84.7654,17,,41117,201701,2017-01-14
자연앤자이3단지,이의동,68600,101.93,5,,41117,201701,2017-01-21
주공,원천동,18100,41.3,4,,41117,201701,2017-01-24
광교LAKEPARK한양수자인,하동,47800,84.8442,14,,41117,201701,2017-01-21
원천레이크파크,원천동,22700,59.39,14,,41117,201701,2017-01-23
광교e편한세상,이의동,75000,101.933,3,,41117,201701,2017-01-04
주공,원천동,12800,32.39,1,,41117,201701,2017-01-07
광교한양수자인,이의동,50700,84.1638,9,,41117,201701,2017-01-31
자연앤힐스테이트,이의동,70000,84.68,29,,41117,201701,2017-01-05
주공,원천동,18000,41.3,5,,41117,201701,2017-01-22
자연앤힐스테이트,이의동,57800,84.28,1,,41117,201701,2017-01-02
광교e편한세상,이의동,82000,120.0331,30,,41117,201701,2017-01-13
광교호반베르디움,원천동,41400,59.9306,15,,41117,201701,2017-01-21
광교호반베르디움,원천동,41000,59.9306,28,,41117,201701,2017-01-02
래미안광교,이의동,69500,97.77,21,,41117,201701,2017-01-21
자연앤힐스테이트,이의동,59800,84.41,1,,41117,201701,2017-01-12
삼성1,원천동,15950,49.14,6,,41117,201701,2017-01-18
주공,원천동,14000,32.39,14,,41117,201701,2017-01-14
광교호반베르디움,원천동,41500,59.9718,21,,41117,201701,2017-01-14
주공,원천동,12900,32.39,15,,41117,201701,2017-01-19
광교호반베르디움,원천동,41400,59.9306,30,,41117,201701,2017-01-02
SummitPlace광교,이의동,82200,116.345,6,,41117,201701,2017-01-20
원천레이크파크,원천동,23800,59.8,15,,41117,201701,2017-01-21
원천레이크파크,원천동,25000,59.99,14,,41117,201701,2017-01-12
자연앤힐스테이트,이의동,64400,84.46,24,,41117,201701,2017-01-21
광교e편한세상,이의동,78000,120.0331,30,,41117,201701,2017-01-24
삼성1,원천동,14950,49.14,2,,41117,201701,2017-01-24
삼성1,원천동,15500,49.14,12,,41117,201701,2017-01-17
광교호반베르디움,원천동,43200,59.983,25,,41117,201701,2017-01-17
광교호반베르디움,원천동,39500,59.9306,2,,41117,201701,2017-01-07
광교호반베르디움,원천동,43250,59.983,29,,41117,201701,2017-01-14
광교호반베르디움,원천동,41800,59.9718,25,,41117,201701,2017-01-07
자연앤힐스테이트,이의동,67400,84.55,19,,41117,201701,2017-01-06
광교호반베르디움,원천동,41100,59.983,17,,41117,201701,2017-01-04
삼성1,원천동,14500,49.14,11,,41117,201701,2017-01-12
원천레이크파크,원천동,20350,49.95,6,,41117,201701,2017-01-14
원천레이크파크,원천동,26000,59.99,8,,41117,201701,2017-01-02
아주,원천동,13500,56.67,6,,41117,201702,2017-02-24
래미안광교,이의동,76000,119.11,11,,41117,201702,2017-02-27
광교 해모로 아파트,이의동,43000,84.8,2,,41117,201702,2017-02-24
광교 해모로 아파트,이의동,43400,74.58,7,,41117,201702,2017-02-26
자연앤힐스테이트,이의동,66800,84.55,26,,41117,201702,2017-02-08
광교호수마을호반써밋,하동,56700,84.96,17,,41117,201702,2017-02-18
자연앤힐스테이트,이의동,62500,84.28,8,,41117,201702,2017-02-18
광교호반베르디움,원천동,52800,84.942,2,,41117,201702,2017-02-13
자연앤힐스테이트,이의동,68000,84.39,27,,41117,201702,2017-02-11
광교e편한세상,이의동,82100,120.7597,24,,41117,201702,2017-02-25
주공,원천동,17100,41.3,5,,41117,201702,2017-02-27
자연앤힐스테이트,이의동,64400,84.49,5,,41117,201702,2017-02-23
원천레이크파크,원천동,25400,59.99,4,,41117,201702,2017-02-21
자연앤힐스테이트,이의동,59900,84.74,1,,41117,201702,2017-02-15
광교e편한세상,이의동,77000,101.9421,12,,41117,201702,2017-02-25
광교시티아이,이의동,34000,43.85,7,,41117,201702,2017-02-04
아주,원천동,15000,56.67,1,,41117,201702,2017-02-28
광교LAKEPARK한양수자인,하동,48500,84.8442,27,,41117,201702,2017-02-18
주공,원천동,21200,49.94,3,,41117,201702,2017-02-04
주공,원천동,13900,32.39,2,,41117,201702,2017-02-24
자연앤자이3단지,이의동,75700,101.67,33,,41117,201702,2017-02-07
원천레이크파크,원천동,25400,59.99,8,,41117,201702,2017-02-27
원천레이크파크,원천동,21000,49.95,18,,41117,201702,2017-02-11
자연앤자이3단지,이의동,73500,101.67,6,,41117,201702,2017-02-08
자연앤자이3단지,이의동,74500,101.67,34,,41117,201702,2017-02-08
SummitPlace광교,이의동,80000,116.345,8,,41117,201702,2017-02-03
원천레이크파크,원천동,25200,59.99,16,,41117,201702,2017-02-17
원천레이크파크,원천동,20800,49.95,11,,41117,201702,2017-02-04
원천레이크파크,원천동,25300,59.99,19,,41117,201702,2017-02-08
오드카운티,이의동,71000,123.4079,4,,41117,201702,2017-02-10
자연앤힐스테이트,이의동,60000,84.49,1,,41117,201702,2017-02-25
자연앤힐스테이트,이의동,71300,84.68,25,,41117,201702,2017-02-11
자연앤힐스테이트,이의동,66000,84.49,27,,41117,201702,2017-02-08
자연앤힐스테이트,이의동,64500,84.49,30,,41117,201702,2017-02-11
원천레이크파크,원천동,33000,84.79,13,,41117,201702,2017-02-08
자연앤힐스테이트,이의동,71000,84.53,27,,41117,201702,2017-02-09
광교e편한세상,이의동,73000,100.8028,3,,41117,201702,2017-02-18
자연앤자이1단지,이의동,72500,116.35,1,,41117,201702,2017-02-05
자연앤힐스테이트,이의동,71000,84.74,22,,41117,201702,2017-02-23
자연앤힐스테이트,이의동,66000,84.55,12,,41117,201702,2017-02-18
자연앤힐스테이트,이의동,63200,84.28,9,,41117,201702,2017-02-10
오드카운티,이의동,69500,121.9758,9,,41117,201702,2017-02-17
원천레이크파크,원천동,20500,49.95,16,,41117,201702,2017-02-08
원천레이크파크,원천동,23800,59.99,4,,41117,201702,2017-02-13
삼성1,원천동,15800,49.14,10,,41117,201702,2017-02-27
원천레이크파크,원천동,20400,49.95,19,,41117,201702,2017-02-24
원천레이크파크,원천동,20130,49.95,6,,41117,201702,2017-02-23
삼성1,원천동,15500,49.14,7,,41117,201702,2017-02-16
광교호반베르디움,원천동,42000,59.983,14,,41117,201702,2017-02-16
광교e편한세상,이의동,70000,101.1899,15,,41117,201702,2017-02-04
자연앤힐스테이트,이의동,70950,84.53,28,,41117,201702,2017-02-22
광교호반베르디움,원천동,41300,59.9306,12,,41117,201702,2017-02-09
SummitPlace광교,이의동,75000,116.705,4,,41117,201702,2017-02-06
래미안광교,이의동,68200,97.35,24,,41117,201702,2017-02-13
광교대광로제비앙,이의동,44521,84.5282,1,,41117,201702,2017-02-01
자연앤힐스테이트,이의동,60000,84.37,5,,41117,201702,2017-02-13
자연앤힐스테이트,이의동,71000,84.53,22,,41117,201702,2017-02-11
원천레이크파크,원천동,21000,49.95,10,,41117,201702,2017-02-01
삼성1,원천동,13900,49.14,1,,41117,201702,2017-02-09
주공,원천동,19600,49.94,3,,41117,201702,2017-02-03
삼성1,원천동,15800,49.14,8,,41117,201702,2017-02-04
자연앤힐스테이트,이의동,65000,84.37,4,,41117,201702,2017-02-07
자연앤힐스테이트,이의동,67300,84.5,23,,41117,201703,2017-03-31
광교호반베르디움,이의동,53600,84.583,13,,41117,201703,2017-03-30
광교역참누리포레스트,이의동,40500,59.6129,4,,41117,201703,2017-03-30
자연앤자이2단지,이의동,85800,125.41,16,,41117,201703,2017-03-25
자연앤자이2단지,이의동,120000,169.26,26,,41117,201703,2017-03-15
원천레이크파크,원천동,33000,84.79,15,,41117,201703,2017-03-27
광교e편한세상,이의동,84700,119.6158,13,,41117,201703,2017-03-31
광교시티아이,이의동,32300,43.85,2,,41117,201703,2017-03-31
원천레이크파크,원천동,25900,59.99,6,,41117,201703,2017-03-31
원천신미주,원천동,17500,59.94,19,,41117,201703,2017-03-18
SummitPlace광교,이의동,82700,116.533,14,,41117,201703,2017-03-24
자연앤자이3단지,이의동,81500,125.6,23,,41117,201703,2017-03-07
광교호수마을호반써밋,하동,57600,84.94,12,,41117,201703,2017-03-04
광교LAKEPARK한양수자인,하동,48250,84.7654,9,,41117,201703,2017-03-10
삼성1,원천동,15400,49.14,15,,41117,201703,2017-03-31
광교e편한세상,이의동,74000,101.933,5,,41117,201703,2017-03-25
자연앤힐스테이트,이의동,64000,84.5,25,,41117,201703,2017-03-23
광교호수마을호반써밋,하동,57700,84.85,7,,41117,201703,2017-03-23
자연앤힐스테이트,이의동,66000,84.68,5,,41117,201703,2017-03-13
자연앤자이2단지,이의동,77800,101.26,12,,41117,201703,2017-03-25
래미안광교,이의동,70750,97.4,22,,41117,201703,2017-03-14
원천레이크파크,원천동,20500,49.95,11,,41117,201703,2017-03-31
SummitPlace광교,이의동,81400,116.345,18,,41117,201703,2017-03-02
자연앤힐스테이트,이의동,63800,84.49,2,,41117,201703,2017-03-11
주공,원천동,17300,41.3,15,,41117,201703,2017-03-01
자연앤힐스테이트,이의동,71500,84.53,11,,41117,201703,2017-03-04
주공,원천동,17500,41.3,15,,41117,201703,2017-03-08
원천레이크파크,원천동,20600,49.95,4,,41117,201703,2017-03-20
자연앤힐스테이트,이의동,68800,84.63,19,,41117,201703,2017-03-14
원천레이크파크,원천동,25400,59.99,9,,41117,201703,2017-03-01
주공,원천동,26000,66.56,3,,41117,201703,2017-03-07
광교대광로제비앙,이의동,45479,84.6489,3,,41117,201703,2017-03-09
SummitPlace광교,이의동,77000,107.418,15,,41117,201703,2017-03-25
광교호반베르디움,원천동,42700,59.983,19,,41117,201703,2017-03-08
주공,원천동,19500,41.3,13,,41117,201703,2017-03-20
원천레이크파크,원천동,23800,59.8,9,,41117,201703,2017-03-03
원천레이크파크,원천동,21000,49.95,19,,41117,201703,2017-03-03
원천레이크파크,원천동,24500,59.99,5,,41117,201703,2017-03-20
삼성1,원천동,16000,49.14,13,,41117,201703,2017-03-18
원천레이크파크,원천동,24500,59.8,9,,41117,201703,2017-03-22
원천레이크파크,원천동,21000,49.95,14,,41117,201703,2017-03-11
광교e편한세상,이의동,72500,101.1899,27,,41117,201703,2017-03-09
광교한양수자인,이의동,51700,84.247,10,,41117,201703,2017-03-11
광교호반베르디움,이의동,50000,84.346,1,,41117,201703,2017-03-11
아주,원천동,20500,71.25,3,,41117,201703,2017-03-08
원천레이크파크,원천동,25500,59.99,12,,41117,201703,2017-03-04
삼성1,원천동,14950,49.14,7,,41117,201703,2017-03-11
자연앤힐스테이트,이의동,62800,84.37,1,,41117,201703,2017-03-10
SummitPlace광교,이의동,78000,107.324,10,,41117,201703,2017-03-11
원천레이크파크,원천동,20800,49.95,16,,41117,201703,2017-03-01
광교호반베르디움,원천동,43400,59.9718,18,,41117,201703,2017-03-24
주공,원천동,18000,41.3,2,,41117,201703,2017-03-31
주공,원천동,25500,61.52,4,,41117,201703,2017-03-14
주공,원천동,20500,49.94,15,,41117,201703,2017-03-04
자연앤힐스테이트,이의동,68000,84.55,28,,41117,201703,2017-03-11
광교호반베르디움,원천동,39500,59.9306,1,,41117,201703,2017-03-28
광교호반베르디움,원천동,42000,59.9306,31,,41117,201703,2017-03-16
광교호반베르디움,원천동,42500,59.9306,11,,41117,201703,2017-03-15
광교호반베르디움,원천동,41200,59.9718,7,,41117,201703,2017-03-06
광교호반베르디움,원천동,43300,59.9306,11,,41117,201703,2017-03-01
광교대광로제비앙,이의동,42000,84.6489,5,,41117,201703,2017-03-11
광교호반베르디움,원천동,41500,59.9306,29,,41117,201703,2017-03-22
광교e편한세상,이의동,70000,101.1899,13,,41117,201703,2017-03-08
광교호반베르디움,원천동,42000,59.9718,29,,41117,201703,2017-03-04
원천레이크파크,원천동,25500,59.99,6,,41117,201703,2017-03-23
래미안광교,이의동,70000,97.4,21,,41117,201703,2017-03-25
오드카운티,이의동,70000,123.4079,25,,41117,201703,2017-03-20
자연앤힐스테이트,이의동,66700,84.5,33,,41117,201703,2017-03-17
자연앤자이3단지,이의동,76000,125.6,15,,41117,201703,2017-03-22
광교e편한세상,이의동,76500,101.9421,11,,41117,201703,2017-03-11
자연앤힐스테이트,이의동,64250,84.28,11,,41117,201703,2017-03-04
원천레이크파크,원천동,23300,59.99,17,,41117,201703,2017-03-13
자연앤힐스테이트,이의동,68000,84.55,7,,41117,201703,2017-03-04
자연앤자이2단지,이의동,67000,101.26,1,,41117,201703,2017-03-04
주공,원천동,18450,41.3,9,,41117,201703,2017-03-13
원천레이크파크,원천동,20850,49.95,9,,41117,201703,2017-03-13
